FIPS,County,# Chlamydia Cases,Chlamydia Rate,# Uninsured Adults,% Uninsured Adults,# Non-Hispanic Black,% Non-Hispanic Black,# Non-Hispanic White,% Non-Hispanic White,# Hispanic,% Hispanic,% Female,Income Ratio,% Unemployed,% Some College,# Uninsured,% Uninsured,% Rural
29073,Gasconade,18,121.9,1227,15,108,0.7,14011,95.3,254,1.7,49.4,3.8,2.7,62,1467,13,100.0
29075,Gentry,9,143.9,608,18,58,0.9,5960,94.8,127,2.0,51.1,3.9,2.6,42,761,15,100.0
29077,Greene,1759,580.0,24058,13,10412,3.4,259879,85.3,16054,5.3,51.0,4.3,2.6,69,27188,11,14.1
29079,Grundy,37,376.1,896,17,105,1.1,9078,92.5,284,2.9,50.7,5.5,3.1,51,1125,15,44.7
29081,Harrison,19,231.7,553,13,41,0.5,7757,94.4,221,2.7,49.9,4.6,3.0,57,668,11,100.0
29083,Henry,47,209.5,1725,14,277,1.2,20763,92.3,713,3.2,50.4,4.2,3.1,51,2018,12,59.6
29085,Hickory,17,197.0,683,16,66,0.8,8154,93.5,172,2.0,50.7,4.0,3.6,50,763,13,100.0
29087,Holt,0,0.0,286,12,26,0.6,4010,94.4,82,1.9,50.4,3.5,2.4,55,336,11,100.0
29089,Howard,32,314.7,633,12,492,4.9,9004,89.1,238,2.4,49.3,4.5,3.1,59,783,11,100.0
29091,Howell,92,226.4,3624,16,271,0.7,37938,93.1,1119,2.7,50.9,5.1,3.7,52,4217,13,70.2
29093,Iron,14,148.7,803,15,142,1.5,8810,93.3,220,2.3,49.3,4.9,4.9,57,933,13,100.0
29095,Jackson,6401,893.3,57775,13,160748,22.4,433335,60.3,82939,11.5,51.5,4.6,3.4,68,65719,11,4.3
